medicine,South,Midwest,West,Northeast
b'GAMUNEX-C',101,31,58,77

b'PREQUE 10',1,0,0,0

b'VICTRELIS',51,21,14,23

b'CETIRIZINE HCL',23,4,9,5

b'PIROXICAM',231,141,143,158

b'YASMIN 28',2,0,4,0

b'PIPERACILLIN-TAZOBACTAM',101,63,38,54

b'ADVICOR',44,36,16,24

b'VIRAMUNE XR',117,41,124,99

b'GENTAMICIN SULFATE IN NS',0,1,0,0

b'CARTEOLOL HCL',8,4,1,6

b'ACETAMINOPH-CAFF-DIHYDROCODEIN',2,1,0,1

b'VASOTEC',9,3,2,19

b'PRODIGY PEN NEEDLE',3,0,0,0

b'RABEPRAZOLE SODIUM',0,1,1,4

b'CHLOROQUINE PHOSPHATE',19,13,8,13

b'ZYLET',4,1,2,1

b'NORETHINDRONE',7,1,3,6

b'MERCAPTOPURINE',445,261,278,480

b'QVAR',776,576,1102,545

b'SENSIPAR',2323,1118,1262,1267

b'KADIAN',148,58,56,63

b'LOVAZA',3582,1504,1596,3083

b'TRAMADOL HCL ER',421,170,134,237

b'CARBAMAZEPINE XR',574,590,402,675

b'TOFRANIL-PM',4,1,0,3

b'VIVELLE-DOT',580,159,403,159

b'CENESTIN',27,6,13,7

b'NALBUPHINE HCL',6,5,3,1

b'CEREZYME',2,2,0,7

b'APRISO',805,393,271,485

b'VANCOMYCIN',4,0,0,1

b'LACTULOSE',2475,877,1474,1725

b'DEPLIN',1,0,0,6

b'CEREFOLIN',4,2,0,3

b'NISOLDIPINE',360,88,90,149

b'NOVOFINE',246,176,148,253

b'APRI',14,13,5,25

b'TOBI PODHALER',1,0,2,0

b'ACTIQ',0,0,2,2

b'FLUCYTOSINE',0,0,1,0

b'FERREX 28',5,2,0,3

b'ATORVASTATIN CALCIUM',17226,9051,9285,12046

b'FIORINAL WITH CODEINE #3',6,4,4,4

b'SYMLINPEN 120',97,61,43,60

b'CANTIL',2,1,0,0

b'AMNESTEEM',2,1,1,0

b'METROGEL',12,4,8,9

b'GOLYTELY',56,9,13,5

b'EMTRIVA',177,60,83,92

b'GRIFULVIN V',1,0,0,0

b'KENALOG',2,0,0,4

b'BYDUREON',340,210,148,237

b'CHLORPROMAZINE HCL',1420,916,656,1275

b'HYDRALAZINE HCL',7183,3546,3019,3554

b'REGRANEX',1,0,0,0

b'STROMECTOL',25,7,22,9

b'AMARYL',12,2,7,16

b'BENICAR HCT',2308,593,746,1167

b'RANITIDINE HCL',9241,4610,4255,4902

b'CEFOXITIN',10,4,1,0

b'LYRICA',8322,4110,3534,4387

b'NOR-Q-D',0,0,1,0

b'VASCULERA',2,0,0,1

b'LOTENSIN HCT',1,0,0,0

b'NEVANAC',30,6,19,12

b'ZIAC',4,0,0,1

b'ZINC SULFATE',1,0,0,0

b'BENTYL',0,1,0,2

b'BALZIVA',10,2,1,11

b'BUPROPION HCL SR',5027,3430,3879,4343

b'VPRIV',2,1,2,1

b'DIPYRIDAMOLE',271,112,59,120

b'SOLARAZE',32,11,33,125

b'PEG 3350-ELECTROLYTE',680,373,420,361

b'FENTORA',23,7,11,13

b'SPIRONOLACTONE-HCTZ',551,312,252,318

b'CHOLESTYRAMINE',976,530,442,601

b'ANAPROX DS',0,0,1,0

b'LACRISERT',2,0,0,0

b'LOESTRIN 24 FE',6,1,0,2

b'DEXTROSE 5%-0.45% NACL-KCL',5,0,3,2

b'ZYPREXA ZYDIS',35,31,32,39

b'GLIPIZIDE ER',2776,1191,856,1683

b'CYANOCOBALAMIN INJECTION',42,15,14,43

b'EURAX',2,0,0,1

b'MEDROXYPROGESTERONE ACETATE',676,302,371,211

b'SUBSYS',15,0,8,15

b'SULFACETAMIDE SODIUM',28,19,23,18

b'BARACLUDE',218,97,256,196

b'EPIVIR HBV',86,39,44,90

b'CLORPRES',3,1,0,0

b'TEMAZEPAM',6270,2580,3879,2102

b'SPIRIVA',5739,3213,2956,4098

b'PIOGLITAZONE-METFORMIN',426,128,175,237

b'LIDOCAINE',693,494,508,775

b'FOLIVANE-PLUS',2,0,0,0

b'WERA',0,0,1,0

b'AROMASIN',29,11,14,22

b'SE-TAN PLUS',5,0,0,0

b'CLEOCIN PHOSPHATE',2,0,1,0

b'ATROVENT',1,1,0,1

b'FLEBOGAMMA DIF',1,2,1,0

b'CAYSTON',12,6,8,6

b'ZYLOPRIM',1,2,2,1

b'TOBRAMYCIN SULFATE',29,20,16,10

b'AZELASTINE HCL',712,353,391,558

b'CEFOTETAN',0,1,0,0

b'QUINIDINE GLUCONATE',27,13,17,21

b'DOXYCYCLINE MONOHYDRATE',230,144,102,92

b'FORFIVO XL',3,2,2,1

b'TEV-TROPIN',2,3,3,2

b'CARDIZEM CD',42,20,17,57

b'PROSCAR',1,1,3,6

b'CYTRA-3',0,2,0,0

b'NEPHROCAPS QT',0,1,0,0

b'NOVOLOG FLEXPEN',2298,1411,1032,1664

b'LOESTRIN FE',0,0,0,1

b'COPEGUS',1,0,0,0

b'MAXALT MLT',22,8,15,16

b'HYDROXYUREA',1526,1045,879,1068

b'NASACORT AQ',2,3,4,1

b'POTASSIUM CHLORIDE-NACL',1,0,1,0

b'CLARAVIS',4,1,0,1

b'LITHIUM CARBONATE',4472,3174,3256,4321

b'POTASSIUM CHL-NORMAL SALINE',3,1,0,0

b'XODOL 10-300',1,0,0,0

b'LEVALBUTEROL CONCENTRATE',0,0,1,1

b'TASMAR',8,11,6,14

b'HEPSERA',27,15,23,19

b'MIGRANAL',5,4,5,4

b'CLINDAMYCIN PHOSPHATE',271,168,200,247

b'LITHOSTAT',1,0,0,1

b'SSD',142,108,101,190

b'ALBENZA',0,0,4,1

b'MELOXICAM',10533,3841,3043,3646

b'CARNITOR',1,2,5,5

b'HIZENTRA',7,8,11,7

b'HYDROMORPHONE HCL',1817,939,1389,1243

b'ARANELLE',1,1,0,1

b'ZALEPLON',693,377,360,428

b'DEPO-MEDROL',4,1,1,4

b'TRANSDERM-SCOP',169,108,65,145

b'STANNOUS FLUORIDE',5,4,0,1

b'FOLBIC',65,39,6,46

b'FULYZAQ',2,0,1,2

b'DESOGEN',1,0,0,0

b'TAZICEF',5,1,0,1

b'FOCALIN',1,2,1,2

b'BIAXIN XL',1,0,0,0

b'TIKOSYN',551,411,174,395

b'AMOX TR-POTASSIUM CLAVULANATE',6110,2787,2288,2967

b'MEGESTROL ACETATE',2451,764,1093,686

b'SILVER NITRATE',1,0,0,0

b'FUZEON',26,5,11,18

b'MAVIK',2,0,0,0

b'VERELAN',3,1,1,5

b'FOLTANX',0,2,1,3

b'ACIPHEX',557,228,413,618

b'LATANOPROST',886,543,579,852

b'CLORAZEPATE DIPOTASSIUM',912,365,173,322

b'MYSOLINE',27,22,12,27

b'DICLOXACILLIN SODIUM',51,57,44,34

b'CEDAX',2,0,0,0

b'ANTARA',64,17,29,26

b'VFEND',1,2,3,0

b'SEMPREX-D',5,3,0,6

b'DOBUTAMINE HCL IN DEXTROSE',7,0,1,1

b'LEVORPHANOL TARTRATE',4,3,5,2

b'ASACOL HD',747,511,359,604

b'VOL-PLUS',0,5,0,1

b'CAPTOPRIL',852,391,408,401

b'BENZTROPINE MESYLATE',5042,3420,3264,4587

b'CADUET',22,10,13,19

b'LIDOCAINE-PRILOCAINE',1823,797,498,742

b'CEVIMELINE HCL',268,154,125,163

b'PRAMOSONE',1,0,0,0

b'CODEINE SULFATE',25,38,30,41

b'TRI-LINYAH',11,3,0,2

b'CLIMARA PRO',16,2,12,4

b'JANTOVEN',2177,1070,212,1427

b'DULOXETINE HCL',101,65,23,57

b'DEXTROSE 5%-NS-KCL',0,1,0,0

b'ETODOLAC',1107,494,396,430

b'LIDOCAINE-HYDROCORTISONE',2,2,0,1

b'INTEGRA SYRINGE',0,0,0,4

b'ALPHAGAN P',147,74,69,172

b'ANASTROZOLE',2362,1470,1361,1652

b'NEURONTIN',103,57,59,102

b'SINEMET CR',7,8,11,19

b'ACETAMINOPHEN-BUTALBITAL',0,0,0,1

b'1ST TIER UNIFINE PENTIPS',0,3,0,7

b'GLYBURIDE MICRONIZED',158,78,30,52

b'TANDEM PLUS',1,0,0,0

b'SOMA',9,0,4,2

b'PROCTOZONE-HC',345,137,188,375

b'PROBENECID',145,81,74,79

b'ADALAT CC',7,1,5,6

b'FOLBEE PLUS',11,4,2,3

b'VENTOLIN HFA',3709,1801,1672,2730

b'ERIVEDGE',9,6,4,7

b'CRINONE',0,0,1,3

b'MYCOBUTIN',21,19,16,11

b'CEREFOLIN NAC',5,3,1,11

b'JANUMET XR',248,66,97,145

b'KEPPRA XR',221,150,84,136

b'CIPROFLOXACIN',0,1,0,0

b'ZYMAXID',7,5,3,8

b'CYCLOSET',37,22,16,32

b'METHAMPHETAMINE HCL',3,10,15,10

b'IRBESARTAN',2108,934,768,1781

b'VOTRIENT',71,58,29,31

b'VELCADE',14,1,6,21

b'PROTOPIC',17,13,9,21

b'BENLYSTA',16,2,9,5

b'BECONASE AQ',11,1,7,8

b'L-METHYL-MC',1,0,1,1

b'TRIAMCINOLONE ACETONIDE',3484,1903,2561,1985

b'AVASTIN',19,3,13,36

b'LEVOCARNITINE',71,113,70,121

b'ACETYLCYSTEINE',6,7,19,4

b'CARDURA XL',5,0,0,5

b'NORINYL 1+50',0,0,1,0

b'ERRIN',5,4,6,15

b'DESMOPRESSIN ACETATE',437,358,231,307

b'HEMATINIC PLUS',4,0,0,0

b'CONZIP',3,2,2,3

b'DIASTAT ACUDIAL',2,8,2,5

b'MYCAMINE',10,9,5,4

b'OXYCODONE HCL',5009,2829,4257,5142

b'PAROXETINE HCL',8882,5206,5232,6644

b'FEMHRT',7,2,5,4

b'SAIZEN',4,2,5,0

b'ZERIT',1,0,1,1

b'HYDROMET',5,0,1,1

b'TESTIM',60,38,72,111

b'NADOLOL',1327,617,399,1113

b'ZYVOX',34,25,10,21

b'SANCUSO',57,8,10,21

b'NEXAVAR',103,45,67,41

b'CYCLOPHOSPHAMIDE',52,18,25,34

b'FENOGLIDE',5,0,0,3

b'MYAMBUTOL',0,0,0,1

b'AMBIEN CR',128,76,90,134

b'BETAPACE AF',8,6,6,10

b'PREZISTA',780,339,346,598

b'DOXAZOSIN MESYLATE',4301,2039,2029,2450

b'EVAMIST',4,5,8,2

b'PROBENECID-COLCHICINE',99,35,36,30

b'HAVRIX',1,2,7,4

b'HYDROCODONE-CHLORPHENIRAMINE',22,17,1,15

b'SYPRINE',2,1,2,3

b'OFLOXACIN',173,101,122,117

b'STAGESIC',1,0,0,0

b'CALCIUM-FOLIC ACID PLUS D',0,0,0,1

b'CORDRAN',7,4,6,3

b'SONATA',3,4,0,9

b'TRILIPIX',1228,406,403,574

b'AMITRIPTYLINE HCL',10188,5266,4533,4978

b'PENNSAID',69,14,27,46

b'PRIMAXIN',4,0,1,0

b'FLUOROPLEX',3,1,3,3

b'AXIRON',13,5,14,16

b'MIDAZOLAM HCL',2,2,3,0

b'EVOXAC',34,13,22,16

b'VICODIN HP',9,6,6,4

b'METHADONE INTENSOL',1,5,5,6

b'METAFOLBIC PLUS',0,0,0,1

b'BROMFED DM',1,0,0,1

b'EPIVIR',91,24,34,78

b'NEPHPLEX RX',1,0,0,10

b'TYVASO',4,2,0,2

b'DIABETA',0,1,0,2

b'CRIXIVAN',19,6,4,11

b'ARCALYST',1,0,0,1

b'BEPREVE',8,2,6,1

b'OXACILLIN',2,0,1,1

b'CIPRO HC',3,1,1,0

b'NIFEDIPINE ER',5567,2153,2296,3040

b'HYDROCODONE BIT-IBUPROFEN',831,276,195,268

b'PEGINTRON REDIPEN',55,29,16,21

b'SAPHRIS',1041,711,508,528

b'PHENADOZ',31,6,7,3

b'ZOLPIDEM TARTRATE',15614,8106,9712,11575

b'LOXITANE',1,3,0,1

b'ZYPREXA',218,168,162,237

b'METOPROLOL SUCCINATE',14302,7896,6648,10297

b'METOPROLOL TARTRATE',16708,9229,8343,10911

b'GEMCITABINE HCL',5,0,3,20

b'BONIVA',42,12,43,34

b'BACLOFEN',4696,2526,2969,2397

b'TRUVADA',984,467,489,752

b'RETIN-A MICRO',1,0,0,0

b'CYSTADANE',3,1,1,2

b'LOMOTIL',2,1,2,2

b'HALDOL DECANOATE 100',7,5,3,3

b'CHANTIX',299,187,159,166

b'ALBUTEIN',0,0,1,0

b'CEFTRIAXONE',564,279,220,223

b'TEGRETOL',282,215,124,253

b'BROMOCRIPTINE MESYLATE',164,116,96,143

b'ALCLOMETASONE DIPROPIONATE',26,9,7,22

b'VIREAD',669,307,412,558

b'VIGAMOX',54,25,31,30

b'DEPO-TESTOSTERONE',64,26,55,18

b'IPOL',0,1,3,0

b'JOLESSA',0,0,0,1

b'SIMPONI',206,103,132,105

b'BACTROBAN',8,2,2,12

b'DESFERAL',0,0,0,1

b'COLESTIPOL HCL',625,334,147,274

b'LESCOL',6,4,5,6

b'FERRIPROX',5,1,5,7

b'METHYLPHENIDATE ER',478,672,382,688

b'FLUCONAZOLE IN SALINE',5,1,0,0

b'AMCINONIDE',3,1,1,1

b'EGRIFTA',26,13,19,9

b'CATAPRES-TTS 3',21,11,12,13

b'BYETTA',664,382,354,509

b'TETANUS TOXOID ADSORBED',0,0,1,0

b'TYLENOL-CODEINE NO.3',3,3,3,7

b'TUDORZA PRESSAIR',289,136,111,178

b'LAMICTAL ODT',76,59,30,92

b'LOPRESSOR',0,1,0,0

b'GUANIDINE HCL',0,1,0,0

b'DALIRESP',712,372,206,379

b'PRIVIGEN',22,9,21,15

b'LEVOTHROID',22,7,6,20

b'MINI ULTRA-THIN II',0,0,1,0

b'PHOSPHA 250 NEUTRAL',67,38,54,21

b'FEMARA',52,21,35,51

b'PRINIVIL',13,5,4,22

b'NAFTIN',119,21,26,91

b'ALREX',11,7,2,9

b'HUMULIN N',809,392,625,695

b'VIAGRA',309,15,62,152

b'ALTACE',28,16,14,33

b'MENOSTAR',4,1,10,10

b'FOLIC ACID-VIT B6-VIT B12',1,1,0,3

b'ATENOLOL',12288,6895,7399,8494

b'AVALIDE',18,5,12,15

b'ALVESCO',76,47,35,73

b'PYLERA',18,4,5,11

b'ZESTORETIC',8,5,2,5

b'CANDESARTAN-HYDROCHLOROTHIAZID',45,12,12,20

b'M-M-R II VACCINE',2,0,1,0

b'BIFERA RX',0,1,1,0

b'ASMANEX',425,318,211,428

b'CORTISONE ACETATE',4,2,1,0

b'CALCIUM CHLORIDE',0,1,0,0

b'ARIMIDEX',54,14,27,47

b'INCONTROL',2,0,0,0

b'TRICARE',1,0,0,0

b'COMPRO',9,11,9,30

b'CYTOTEC',0,0,0,1

b'SULINDAC',390,262,236,211

b'RELPAX',145,88,73,123

b'FLUCONAZOLE',5260,1896,1684,1485

b'CLEMASTINE FUMARATE',20,7,9,3

b'VITACIRC-B',0,2,0,1

b'PROTONIX',119,61,99,121

b'ENTACAPONE',487,364,428,410

b'PATANASE',127,68,73,71

b'COLYTE WITH FLAVOR PACKETS',24,6,4,3

b'VALIUM',17,11,12,27

b'THEOPHYLLINE',145,63,43,76

b'NABI-HB',0,0,1,0

b'KOMBIGLYZE XR',437,100,110,227

b'EPINASTINE HCL',9,6,15,14

b'XIFAXAN',834,374,419,486

b'BENAZEPRIL-HYDROCHLOROTHIAZIDE',971,283,441,188

b'RHINOCORT AQUA',19,10,22,17

b'PLETAL',3,3,0,4

b'DROXIA',8,4,3,6

b'MINIVELLE',32,4,28,4

b'COREG CR',1028,332,505,761

b'CLONAZEPAM',13162,7709,8153,10840

b'PEGANONE',1,11,3,1

b'ULTRACET',7,1,3,5

b'PROCTOCORT',0,1,0,2

b'MECLOFENAMATE SODIUM',5,3,1,3

b'LAMIVUDINE',341,140,169,264

b'THYROLAR-1/2',0,0,1,0

b'LATUDA',1403,1377,973,907

b'ENALAPRILAT',0,0,1,0

b'SILDENAFIL',300,159,129,147

b'EFFER-K',0,0,0,1

b'DEPLIN-ALGAL OIL',2,0,0,1

b'DIFLUCAN',0,0,3,0

b'ZENPEP',269,125,160,139

b'PHILITH',2,2,0,1

b'ZOMIG ZMT',4,1,3,3

b'INVEGA SUSTENNA',1409,1085,887,720

b'GRISEOFULVIN ULTRAMICROSIZE',3,0,4,2

b'PROGLYCEM',4,6,2,1

b'TYPHIM VI',1,3,5,2

b'ADVAIR HFA',624,404,274,452

b'AMILORIDE HCL',190,166,130,149

b'NOVOLOG MIX 70-30 FLEXPEN',1204,521,379,814

b'HORIZANT',27,18,11,16

b'ALORA',10,7,2,4

b'BCG VACCINE (TICE STRAIN)',0,0,1,0

b'ALINIA',13,1,0,1

b'ROBINUL',0,0,1,0

b'OXYBUTYNIN CHLORIDE',2618,1704,1778,1189

b'PERTZYE',1,1,1,0

b'DASETTA',5,7,0,2

b'RISPERDAL M-TAB',7,10,6,9

b'NABUMETONE',1414,864,627,799

b'BD INSULIN SYRINGE MICRO-FINE',0,1,0,0

b'DIVALPROEX SODIUM ER',5662,4085,3241,4588

b'TIVICAY',14,4,9,5

b'LEVONEST',0,0,0,2

b'URIBEL',2,0,0,0

b'ACEBUTOLOL HCL',357,149,64,172

b'CLICKFINE',134,43,22,7

b'POLY-IRON 150 FORTE',1,1,0,1

b'FLUOCINONIDE EMOLLIENT',1,0,0,1

b'DEPACON',0,0,1,0

b'PENICILLIN V POTASSIUM',3084,2203,1583,2020

b'COMBIVENT RESPIMAT',1765,888,705,862

b'NUVARING',13,9,10,20

b'ERBITUX',3,0,5,4

b'OXECTA',0,0,0,1

b'AMINOSYN II',0,0,1,1

b'PROVERA',0,0,2,1

b'DILAUDID',38,12,24,15

b'DIPHENOXYLATE-ATROPINE',1914,937,968,825

b'CALCIUM GLUCONATE',0,2,0,0

b'DEMECLOCYCLINE HCL',79,54,53,44

b'CIALIS',194,23,49,65

b'PHENDIMETRAZINE TARTRATE',1,0,0,0

b'CAPRELSA',7,3,2,2

b'HALOPERIDOL LACTATE',94,148,81,128

b'DEXMETHYLPHENIDATE HCL',62,32,14,27

b'THIOLA',3,0,1,0

b'INNOPRAN XL',11,6,6,6

b'CEFTAZIDIME',25,10,7,13

b'FLUOCINONIDE-E',11,6,10,24

b'TRIAZOLAM',414,199,325,162

b'OXYTROL',27,12,23,32

b'XYZAL',0,2,1,6

b'NIMODIPINE',1,0,0,5

b'DEFEROXAMINE MESYLATE',5,0,2,3

b'PRANDIN',310,137,241,739

b'FACTIVE',1,0,0,0

b'CYCLOSPORINE',39,16,14,9

b'VALPROATE SODIUM',2,2,0,0

b'HYDREA',5,3,2,2

b'IMURAN',7,4,2,8

b'ENGERIX-B ADULT',0,1,0,0

b'TIMENTIN',1,0,0,0

b'ZENCHENT FE',2,0,0,2

b'NITRO-DUR',54,31,26,66

b'BEYAZ',2,0,1,1

b'MEKINIST',3,1,1,1

b'PEDI-DRI',0,0,1,4

b'FOLCAPS',1,0,0,2

b'LYSODREN',1,2,2,1

b'COLCRYS',2773,1063,1111,1850

b'CONCERTA',16,23,13,30

b'RIDAURA',10,2,7,7

b'FAMVIR',0,0,0,1

b'ZOVIA 1-50E',4,2,6,3

b'PROMETHAZINE-DM',6,5,0,28

b'CARTIA XT',2162,1246,666,877

b'TIAGABINE HCL',80,83,28,65

b'MILRINONE LACTATE',20,4,1,6

b'ADRUCIL',1,0,0,2

